"cluster","sampleText","num_transcripts"
10,"reform effort to pass its first procedural hurdle moderate republican susan collins and lisa murkowski reacted we had two republicans go against us which is very sad i believe now we will over the next week or two come up with a plan that's going to be really really wonderful for the american people arizona senator john mccain returned from his own health care battle with brain cancer to help gop leadership get to 50 votes mr mccain he received a heroic welcome back and noted there's still plenty of difficult work ahead our health care insurance system is a mess we all know it those who support obamacare and those who oppose it something has to be done we republicans have looked for a way to end it and replace it with something else without paying a terrible political price we haven't found it yet and i'm not sure we will sources say one idea that has been floated by gop leaders is passing a so-called skinny bill limited to repealing themare's individual and employer mandates and the medical device tax and then the measure would go to conference to cut a deal with the house after the procedural vote majority leader mitch mcconnell pledged to keep working to get there and noted democrats struggled with passing obamacare we watched a similar process seven years ago they had a lot of differences we're going to sort this out in a thoroughly open amendment process and a situation where 51 votes can change the built the senate democratic leader tried to convince moderate republicans to oppose this effort don't be fooled by this ruse a vote in favor of the motion to proceed will mean deep cuts to medicaid maybe even deeper than in the house bill it won't be an easy lift going forward but leadership was able to get past the first hurdle and will have the opportunity to keep working at it to keep a campaign promise going back",4
26,"know that the gop leadership needs nearly every republican senator on board for any action on healthcare because they hold a slim majority and democrats are united in their opposition leader mcconnell has a long way to go before he can get this done there are many many republicans who don't like this bill susan collins of maine lisa murkowski of alaska were the only two republican senators to join democrats in voting no president trump congratulated the gop leadership on this when now we move forward towards truly great healthcare for the american people look forward to that this was a big step protesters in the senate gallery chanted is voting began made their presence known around the capital",4
30,"nats -- hello grassley's office in iowa senator chuck grassley's office the phones rarely stop ringing nats grassley's inbox is constantly bombarded with today i received 1 506 messages grassley says his office sends a written response to every iowan who contacts his office and leaves a name and address most constituents are contacting him about healthcare his office saw a huge spike in incoming messages throughout the first six months of the year we've responded and mailed out 190 000 responses to mail that has come into us that compares to about 75 000 a year ago grassley says most iowans are asking him to repeal and replace obamacare we're hearing from people that are paying higher premiums but he admits he also hears from people on the other side of the issue -- who want to protect aca i'm sure those people wouldn't call me up if they knew 72 000 people could not get insurance jess",4
40,"before farm to table before field to fork there was just good wholesome food grown by america's farm families prepared fresh at culver's and always served with a smile we still cook every butterburger to order using the finest cuts of fresh 100 midwest beef and craft our frozen custard right in the restaurant using family farm fresh dairy so thank you farmers and to all the welcome to delicious",4
48,"the senate is moving ahead with debate on an obamacare overhaul after a tie-breaking vote from vice president mike pence john mc-cain returned from arizona where hes being treated for brain cancer to cast a critical vote majority leader mitch mc-connell begged fellow republicans to vote yes ' 22 - 30 our constituents are hurting under obamacare - they are counting on us to do the right thing now' daren getting to a 'yes' vote on a final piece of legislation will be more difficult the g-o-p needs nearly every republican senator on board because they only hold a slim majority and democrats are united",4
18,"democrats walked out of the capitol and sought to rally protesters who had gathered to oppose the g-o-p led health bill they pledged an all out legislative fight with warnings that americans will die if a bill is passed obviously we have our work cut out for us we cleared the first hurdle but there is obviously a lot of work yet to be done but i think we all know what we have today has to be fixed it's not working everyone of us loves someone knows someone with a pre- existing condition and they will be affected by this bill people will die and i'm not gonna let it happen",3
43,"still unclear what a final senate plan would look like 20 to 30 million people could lose their health insurance over a decade depending on the final version of the bill",3
9,"to replace the affordable care act trump did a victory lap tonight the latest from washington donald trump going back to his campaign roots tuesday night at a make america great rally in ohio the president feeling renewed momentum after his promise to repeal obamacare got a step closer to reality we are now one step closer to liberating our citizens from this obamacare nightmare mike pence breaking the tie on captiol hill also lending his support john mccain a scar visible above his left eye after brain surgery he was welcomed back with a standing ovation after casting his vote to move forward with debate senator mccain speaking his mind expressing reservations on what comes next it is a shll of a bill right now we all know that i have changes urged by my state's governor that will have to be to pass any bill republicans trying to hash out a bill they can pass without any democratic support there's a lot of things that we have done and will continue to do on a bipartisan basis regretfully the issue of health care has not fallen in to that category on either side senate republicans will be rolling up their sleeves whales unusual is this will be playing out on the senate floor megan hughes abc news",2
16,"on the topic pres donald you know after seven years of saying repeal and replace obamacare we have a chance to now do it they better do it hopefully they'll do it the stakes intensifying in the health care battle -- as senators work within a pressure cooker of deadlines",2
24,"i'm very happy to announce that with zero of the democrats' votes the motion to proceed on health care has just passed and now we move forward towards truly great health care for",2
25,"their last ditch effort to repeal or replace obama care the vote so significant that senator john mccain returned to washington to cast his vote abc megan hughes has the details arizona senator john mccain getting a bipartisan hero's welcome from his colleagues in the u s senate his return a week after revealing that he's fighting brain cancer back in time to cast his vote determining the fate of obama care mccain -- the senate deciding to move forward with vice president mike pence casting the tiebreaking vote they now move on to debate the repeal and possible replacement of president obama's signature healthcare law the most recent abc washington post poll showed americans prefer obama care to g o p replacement 2-1 more popular a policy that wasn't popular when we started trying to get rid of it protestor against repeal making their voices heard around the capital and even on the senate floor a vote in favor of the motion to proceed will mean deep cuts to medicaid maybe deeper than in the house bill it will mean people with preexisting conditions will be left high and dry president trump meeting with the lebanese prime minister today but keeping a close eye on that key vote on his biggest campaign promise and now we move forward towards truly great healthcare for the american people we look forward to that this was a big step there are still a lot of questions about what the final measure will look like senator mitch mcconnell said he's open to ideas and amendments so expect several significant votes in coming days megan hughes",2
28,"chose to revive an old campaign issue tweeting sessions has taken a very weak position on hillary clinton's crimes i want the attorney general to be much tougher on the leaks from the intelligent agencies which are leaking like rarely have they ever leaked before at a very important level these are intelligence agencies we cannot have that happen i told you before i'm very disappointed with the attorney general but we'll see what happens time will tell time will tell speaking at the white house the president would not say whether he intends to fire sessions a moment that came down to the wire with an emotional return of senator john mccain",2
31,"it's a privilege to serve with all of you i mean it many of you have reached out in the last few days with your concern and your prayers and it means a lot to me it really does i've had so many people say such nice things about me recently that i think some of you must have me confused with someone else",2
33,"attorney general jeff sessions stealing some of the spotlight from senator john mccain who days after announcing he has an aggressive form of brain cancer returned to capitol hill to cast a key vote on health care this is the beginning of the end for the disasterknn as obamacare after seven years of promisingrepeal and replace obamacare 15 republicans voted yes on a motion to move forward with debate in the repeal of replace legislation as expected every democrat voted",2
39,"washington correspondent mark meredith is on capitol hill with the latest mark reporting kill the bill pro-obamacare protesters shouted one last appeal kill the but after months of delays and bill debate over health care it all came down to a tie the senate being equally divided the vp votes in the affirmative the 51st vote allowing senate vice president mike pence cast republicans to start working with their house colleagues to repeal obamacare two republicans and every democrat voted no that left majority leader mitch mcconnell no room for error mcconnell bite people who sent us here expect us to begin this debate senator john mccain heard mcconnell's call for help today the 80-year-old rushed back to washington mccain is battling brain cancer after the vote he told his colleagues both parties must do more to work together lets trust each other lets mccain bite return to regular order for republicans trump bite today's vote as a major victory here hes a very brave man he made a tough trip to get here and vote we want to thank senator mccain and all of the republicans we passed it without one democrat vote mark meredith fox 14 news experts say a final health care plan is still likely a month away but today's vote is a major step in overhauling the nation's health care system the senate judiciary committee has issued a subpoena for former trump campaign manager paul manafort to testify",2
44,"what happens time will tell the president's opinion of his attorney general seems to have soured in march after sessions recused himself from the russia investigation he should not have recused himself almost immediately after he took office and if he was going to recuse himself he should have told me prior to taking office and i would have quite simply picked somebody else",2
52,"floor debate on their efforts to repeal and replace obamacare vice president mike pence cast the tiebreaking vote plus two u-s defense officials say a u-s navy ship fired warning shots at an armed iranian patrol boat in the northern end of the persian gulf tuesday that story coming up but first tim adams with a sneak peek at your forecast coming up millennials are set to surpass baby boomers next year as the largest generation of americans eligible to vote the change will mark the crossing of a historic threshold",2
11,"continue and amendments to be offered i will not vote for this bill today as it is today kill the bill protestors chanted inside as democrats uniformly opposed this don't be fooled by this ruse we have lost an important battle today but we have not yet lost this war the president expressed support for the bill now we're all going to sit together",1
12,"offered i will not vote for this bill today as it is today kill the bill protestors chant inside as democrats uniformly oppose this this is the most dangerous and destructive piece of legislation ever to be discussed on the floor of the senate in the modern history of this country turn back now before it's too late and millions and millions and millions of americans are hurt so badly in ways from which they will never ever recover",1
13,"sessions recusing himself from the russia investigation and leaving open the possibility he might fire sessions if he was going to recuse himself he should told me prior to taking office and i would have quite simply picked somebody else",1
14,"these sanctions are a clear signal that the united states will hold president putin and his close associates accountable for their actions president trump's son-in-law jared kushner spent three hours meeting behind closed doors with lawmakers on the house intelligence committee looking into",1
17,"to work together for the good of the american public he stressed that a lot of work needs to be done sen john mccain r- we republicans have looked for a way to end it and replace it with something else without paying a terrible political price we haven't found it yet and i'm not sure we will all we've managed to do is make more popular a policy that wasn't very popular when we started trying to get rid of it i voted for the motion to proceed to allow debate to continue and amendments to be offered i will not vote for this bill as it is today before the vote the senate was briefly stalled by protestors shouting -- 95 were arrested kill the bill don't kill us",1
19,"in the senate's typically quiet chamber a hero's welcome for john mccain the political maverick enjoying a bipartisan embrace i stand here today looking a little worse for wear i'm sure -- 11 days after brain surgery the scar still fresh above his eye the 80-year-old senator delivering a powerful wakeup call to a dysfunctional congress stop listening to the bombastic loud mouths on the radio television and internet to hell with them we're getting nothing done my friends we're getting nothing done his return not just poetic but dramatic completing a cross-country trip just in time t republicans a critical yes vote to begin debate on overhauling obamacare while pushing colleagues to compromise",1
20,"now we all know that mccain a staple on the senate floor for a generation urging lawmakers to stand up to president trump whether or not we are of the same party we are not the president's subordinates we are his equal at the white house a show of deference the president mocked mccain during the campaign saying he wasn't a war hero delaying his remarks until the senator was done i want to thank senator john mccain very brave man he made a tough trip to get here and vote still mccain's move met by resistance protesters attacking his vote for taking health care away from millions of americans just as he benefits from first-class care the former p o w who made a reputation fighting back today for another battle i have every intention of returning here and giving many of you cause to regret all the nice things you said about me",1
21,"we are an important check on the powers of the executive our consent is necessary for the president to appoint jurists and powerful government officials and in many respects to conduct foreign policy whether or not we are of the same party we are not the president's subordinates we are his equal mccain also stressed work mccain also stressed work needs to be done on a new health care plan saying he would not vote for a bill repeal the affordable care act as it stands today kill the bill don't kill us",1
22,"obamacare they're counting on us to do the right thing right now that means voting to allow the senate to finally move beyond obamacare's failures 40 sen chuck schumer senate minority leader 29 it will mean people with pre-existing conditions will be left high",1
23,"to repeal much of former president barack obama's health care law and replace it with a more restrictive plan senators voted 57-43 tonight to reject the plan in the first vote on an amendment to the bill those voting",1
27,"issue tweeting that sessions has taken a weak position some say trump probably wants sessions out i think the president wants him gone vian enormous amount of respect for the attorney general but i do know the president pretty well and this level of tension in the relationship",1
29,"later with her sister lying lifeless sanchez is back live streaming again i killed my sister i knowwi'm going to prison for life alright i understand that this is the last thing i wanted to happen okay she's been charged with gross manslaughtee while intoxicated sot - chp it's very disturbing to us because of the callous nature of her actions both leading up to her actions and in the immediate aftermath",1
32,"we try the old way of legislating in the senate the way our rules and customs encourage us to act mccain said if this process ends in failure which seems likely then let's return to regular order how does mccain's appearance rank trump shamed gop into a vote tweeting after 7 years of talking we will soon see whether or not republicans are willing to step up to the plate",1
35,"after a tie breaking vote from vice president pence mccain returned from arizona where he is being treated for brain cancer to cast a critical vote mitch mcconnell implored fellow republicans to vote yes they are counting on us to do the right thing getting a yes vote on a final destinational piece of -- final piece of legislation will be more",1
36,"leadership needs nearly every republican senator onboard for any action to healthcare they hold a slim majority in the senate democrats are united in opposition a long way to go before he can get this done there are many many republicans who don't like this bill senator susan collins of maine and lisa murkowski of alaska were only two republican senators to join the democrats in voting no president trump congratulated g o p leadership on the win we look toward to truly great healthcare for the american people we",1
37,"is frustrated by sessions' decision to recuse himself from the investigation into russian meddles this morning mr trump revived an old campaign issue tweeting sessions has taken a very weak position on hillary clinton a crimes i am disappointed with the attorney general but we will see what happens time will tell time will",1
38,"decision to recuse himself from the vist investigation into russia an meddling i am disappointed in the attorney general he should not have recused himself almost immediately after he took office if he was going to recuse himself he should have told me prior to",1
41,"sessions decision to recuse himself from the investigation into russian meddling in the us election while reviving an old campaign issue tweeting that sessions has taken a weak position on hillary clinton's crimes the president would not say if he intends to fire his attorney general i am very disappointed with the attorney general we will see what happens",1
42,"whoa you're not taking these hey hey hey you're not taking those whoa whoa you're not taking that come with me you're not taking that you're not taking that you're not taking that mom i'm taking the subaru don't be late even when we're not there to keep them safe our subaru outback will be vo love it's what makes a subaru a subaru",1
45,"starting the process to overhaul healthcare vice president pence casted the tie-breaking vote to allow them to begin the bill to repeal and replace it john mccain traveled back to washington to vote yes and pressure his colleagues to work together wisconsin senator ron johnson who fell in line wants certain provisions i think we need to protect traditional medicaid and medicaid expansion we need to continue that the senate is weighing a number of controversial amendments including an appeal of the affordable care act 20 million to 30 million people could lose their health insurance depending on the final version of the bill",1
46,"boiling hot trailer in san antonio casey stegall has more texas the truck was discovered early sunday morning at least 10 immigrants inside - dead from dehydration and severe heat stroke one survivor says - when he finally got out - he was too weak to move vega i woke up and wanted to run but i felt kind of faint so i fell and now we're learning more about the driver of that truck - james matthew bradley junior has been charged in the deaths but says he had no idea the trailer was loaded with immigrants he says he was just delivering it to brownsville texas when he heard movement in the back but that doesn't explain why he didn't help the victims - who say they were without air and water for hours in the hundred degree heat the incident - re-igniting the immigration debate with some blaming the deaths on president trump's recent crackdown claiming the focus on border security will lead to an uptick in risky crossings shirk the more extreme the counter measures and security that we put in place for border",1
47,"a new study published by jama found chronic traumatic encephalopathy -- or c-t-e -- in a high percentage of former football players whose brains were donated for research including 110 of 111 national football league players researchers with boston university's c-t-e center examined brain tissue donated by 202 deceased former football players they found the condition in 87- percent of men who played for an average of 15 years including high- school college semi-professional and professional play 86-percent of professional players diagnosed with c-t-e had a severe form of the condition symptoms of c-t-e may not appear for years they may include memory loss impaired judgement impulse control problems and aggression as well as depression anxiety and suicidal impulses some studies have linked cte to parkinson's and lou gherig's disease researchers acknowledged the limitations of their study -- it was based on a brain donation program designed for those who fear they suffer from c- t-e but the article concludes that the high proportion of c-t-e evidence found does suggest it may be related to - quote - prior participation in football",1
49,"russia investigation many americans must be wondering if the president is trying to pry open the office of attorney general to appoint somoene during the august recess who will fire special counsel mueller",1
50,"citizens from this obamacare nightmare vice president pence appetite breaking boat allow the senate to begin debating a bill to repeal and replace obamacare battling brain counsel illinois senator john mccain travel back to washington to vote yes and pressure his colleagues to work together we have been spinning our wheels on",1
51,"risk democrats who remain united in their opposition joint protesters on the steps of the capital after the vote this is up to you guys there are 52 senators here who need to hear from you the senate is now weighing a number of controversial amendments including a straight up repeal of the affordable care act",1
53,"i mean i've talked to her oldest child and i think more than anything it's for the kids he's okay with it i mean i know that sounds probably bad yeah we don't talk anymore we used to be best friends i mean i would love to get a relationr again i mean i love her so that i can just move forward and put everything behind me i don't think in the end i lost my sister it is what it is she did me a favor she can have him forgive and forget i mean her oldest son has forgiven me and he's okay with it so i think it's time for her to do the same i know who i can trust now --captions by vitac -- www vitac com",1
54,"senator john mccain made a dramatic shinon today - casting a decisive vote that opens debate on repealing and replacing obamacare the veteran lawmaker who is battling brain cancer also made a passionate plea for congress to put aside partisanship and help the american people n-b-c's blayne alexander has more - from washington for senator john mccain - a hero's welcome -- back on capitol hill - for the first time since his brain cancer diagnosis mister mccain - aye his vote today - crucial - for his party to move forward with health care delivering with a passionate message for his colleagues arizona 19-32 what have we to lose by trying to work together to find those solutions we're not getting done much apart i don't think any of us feels very proud of our incapacity today's procedural vote - a turning point -- that would allow the senate to even begin discussing health care senate majority leader 39-43 many of us on this side of aisle waited years for opportunity and thought it'd never come lawmakers can consider three repeal and replace - repeal only - or something else altogether nat sot kill the bill - don't kill us a rare gallery protest - interrupting the senate floor - just as the vote began senate minority leader 59-10 turn back we can go thru regular order - we want to work with you we know aca is not perfect but we also know what you've proposed is much worse president trump - pushing from the sidelines -- tweeting - big day for healthcare after 7 years of talking we will soon see whether or not republicans are willing to step up to the plate the motion is agreed to the final vote - 50 50 - with vice president pence breaking the tie in republicans favor - officially opening - the health care debate audio blayne alexander nbc news washington only two republicans voted no - senators lisa murkowski and susan collins after the vote - president trump praised mccain for coming back to cast the decisive",1
