"cluster","sampleText","num_transcripts"
22,"down right now stay with news 13 for updates as our crews on the ground gather more information right now-- the senate voted to move forward with a motion to begin debate on the repeal and replacement of obamacare on this vote the 'yays' are 50 and the 'nays' are 50 the senate being equally divided the vice president votes in the affirmative and the motion is agreed to",6
380,"and republicans worked on extending the bill a lesson he says lawmakers in washington d-c could learn from sot full it's a message that we have a functional government here in california where democrats and republicans work together applause and i think this is a very important message for washington where both of the parties can not work together so i hope they learn something from this vo the bill helps ensure california meets its 20-30 greenhouse gas emission reduction targets",6
432,"a holdout among republicans when it comes to an obamacare repeal but today he voted to move forward in a statement he said in part quote obamacare isn't the answer but doing nothing to try to solve the problems it has created isn't the answer either that is why i will vote to move forward and give us a chance to address the unworkable aspects of the law that have left many nevadans - particularly those living in rural areas - with dwindling or no choices",6
585,"bill can happen on the senate floor mccain also called on his fellow senators to return to civility and to work together i hope we can again rely on humility and our need to cooperate on our dependence on each other and learn to trust each other again and better serve the people who elected us stop listening to the bombastic loud mouths on the radio and the television and the internet to hell with them mccain said",6
908,"gases across the nation tonight senator john mccain makes a historic return to capitol hill just as senate republicans vote to advance the floor debate on their efforts to repeal and replace obamacare k-u-s-i's lauren phinney has more on that vote and senator mccain's return lauren allen senate republicans are moving forward with their attempt to fulfill a long- held promise to repeal and replace obamacare the senate passing a motion to begin debate on the house-passed health care bill vice president mike pence cast the tie-breaking vote a vote that came during the dramatic return of senator john mccain who traveled back to washington today despite being diagnosed with a rare brain cancer",6
1048,"republicans are standing by the president inclu ding north carolina senator thom tillis president donald trump- he should not trump- he should not have recused himself almost immediately after taking office and if we was going to recuse himself he should have told me prior to taking office and i would have quite simply picked somebody else",6
5,"today he answered more questions about russia kushner also released an 11-page statement and denied collusion with the russian government kushner said he had four meetings with russians last year but insists he discussed nothing improper",5
92,"both parties gave the senator a standing ovation he gave remarks about unity and the senate's role in american government we are an important check on the powers of the executive our consent is necessary for the president to appoint jurists and powerful government officials and in many respects to conduct foreign policy whether or not we are of the same party we are not the president's subordinates we are his equal mccain also stressed work mccain also stressed work needs to be done on a new health care plan saying he would not vote for a bill to repeal the affordable care act as it stands today kill the bill don't kill us mccain's statements came immediately after vice president mike pence cast the tie-breaking vote and after a rare gallery protest - interrupting the senate floor - just as that vote began now gop members will move forward to decide - what exactly",5
171,"tomorrow tomorrow here at 00 more rain i'll run the hour-by-hour forecast up to this point and beyond to see whoa you're not taking these hey hey hey you're not taking those whoa whoa you're not taking that come with me you're not taking that you're not taking that you're not taking that mom i'm taking the subaru don't be late even when we're not there to keep them safe our subaru outback will be vo love it's what makes a subaru a subaru",5
200,"for what must be covered a proposal to simply repeal the affordable care act may also be on the table senator john mccain received a standing ovation on the senate floor today - as he returned to vote for opening debate on a health care bill the arizona republican was recently diagnosed with brain cancer after the procedural vote mccain addressed the floor saying that he would not vote for the health care bill as it stands today sen john mccain r- our healthcare insurance system is a mess we all know it those who support obamacare and those who oppose it something has to be done we republicans have looked for a way to end it and replace it with something else without paying a terrible political price we haven't found it yet and i'm not sure we will all we've managed to do is make more popular a policy that wasn't very popular when we started trying to get rid of it mccain",5
318,"out of a plane to do just that u hear it this ice cold coke is calling you i'm just a dollar at mcdonald's come get me don't let the ice cold deliciously refreshing coke down it's waiting for you and the clock is ticking so go now - like right now and get any size soft drink for just 1 only at mcdonald's just days after a brain cancer diagnosis senator john mccain cast a pivotal vote to move forward on health care",5
430,"inside the white house here in the white house rose garden president trump is set to give a joint announcement with the prime minister of lebanon but of course the biggest talking point in our nation's capital is healthcare reform i'm very happy to announce that with zero of the democrats' votes the motion to proceed on healthcare has just passed",5
431,"with lebanese prime minister saad hariri was delayed while both heads of state watched the live feed from the senate as vice president mike pence cast the tie-breaking vote we had two republicans that went against us which is very sad i think very very sad for them but",5
433,"opens debate on possible reforms but even the president acknowledged it's not a simple process and it's far from over now we are all going to sit together and we are going to try and come up with something that's really special we have a lot of options",5
434,"the mess not only is driving through high water danger the internet revolutionized early in the morning how talent's discovered rising up to meet the sun in the sky and now we're revolutionizing the way you get internet intrucing centurylink price for life -- get any speed up to 25 megs for 45 a month and keep that price year after year no hidden fees no contract finally an internet price you can count on speed may not be available in your area ooh centurylink your link to what's next washington politicians won't stop trying to repeal our health care it'll be a completete disaster for nevada senator heller promised to protect our healthcare but he refuses to take a stand even though the bill slashes medicaid and over a hundred thousand nevadans will lose insurance heller won't say no even though our premiums will skyrocket while the wealthy drug and insurance companies get hundreds of billions in tax breaks senator heller stand up for nevadans vote no on healthcare repeal",5
674,"show you some stories you will only see here on krbc but first here is what you can catch on nbc nightly news with lester holt ahead for us tonight in dramatic fashion republicans eek out the votes to start the health care debate the clock now ticking as anxious americans await the outcome president trump takes to the podium to trash his attorney general a look at what the president's end game might be and why some police officers worry their patrol vehicles are making them sick on nbc nightly news",5
953,"cerrada estuvo la votacion en la que los republicanos logran iniciar el proceso para derogar el obamacare fernando pizarro amplia aunque continuaron las protestas como esta de incapacitados en el capitolio los republicanos lograron estrechamente mantener viva su propuesta de revocar y reemplazar obamacare fue el senador john mccain diagnosticado con cancer quien fue ovacionado por todos sus colegas al retornar desde arizona para su voto clave a favor aunque dijo que se opondra si la propuesta final no tiene cambios sen john mccain r-arizona vote por continuar la idea de avanzar esta propuesta pero no votare a favor de este plan como",5
954,"a las personas con impedimentos que se limiten y eso hace pues que se deteriore su salud mario galdamez manifestantees bien importante que la comunidad latina este presente porque los recortes afectan a muchas personas que reciben beneficios el vice presidente mike pence dio el voto definitivo en la votacion 51-50 en lo que es una victoria para los republicanos y la casa blanca trump dijo que era el comienzo del fin de",5
955,"medico jane delgado alianza nacional para salud hispana todavia tenemos 1 tercio de hispanos que no tienen aunque es obamacare claro hay cambios que tenemos que hacer pero hacer 1 programa donde mas personas no van a tener seguro no vale fernando pizarro washington d c todo esto significa que la propuesta republicana para derogar obamacare sigue viva por ahora sin apoyo democrata el apoyo de todos los republicanos",5
3,"has taken another step -- towards overhauling health care senators voted today -- to start debating republican legislation to repeal the affordable care act with the vote tied -- the vice president cast his vote to break the deadlock on this vote the yeas are 50 and the nays are 50 the senate being equally divided the vice president votes in the affirmative and the motion is agreed to the most emotional moment came when senator john mccain who was recently diagnosed with brain cancer",4
9,"lot covered in that hour-giving voters a lot to think about live in st petersburg saundra weathers bay news 9 senate republicans have jumped over the first hurdle to healthcare bill- advance their and it was a close one on this vote the yeas are 50 and the nays are 50 the senate being equally divided the vice president votes in teh affirmative and the motion is agreed to the chamber held a nail-biting vote tuesday to start debate on the legislation vice president mike pence ended up breaking the",4
11,"bill has passed while the senate was voting on health care members of the house passed new sanctions against russia the plan also includes new sanctions against iran and north korea -- and it gives congress the power to block any effort by the white house to weaken sanctions on russia the senate still has to approve the plan president trump has not",4
23,"diagnosis and called for bipartisanship our health care insurancesystem is a mess those who oppose obamacare and those who support it something has to be done we republicans have looked for a way toend it and replace it with something else without paying a politicalprice we haven't found it yet don't tell lies kill the bill don't tell lies kill the bill",4
24,"once they release any more information or name these individuals we'll let you know in the studio i'm julie gargotta president donald trump's son-in-law and senior adviser met with lawmakers on the house intelligence committee today tuesday the meeting lasted for about three hours the house panel is investigating russian interference in the 2016 presidential campaign and possible involvement of trump associates kushner had a similar interview with staff on the senate intelligence panel monday the president's former campaign chairman paul manafort met with senate investigators about his recollection of the controversial trump tower meeting with a russian lawyer last year",4
95,"thinks we're on track while the other believes we're off the rails the fix was already in long president said the senate being equally divided the vice president votes in the affirmative and the motion is agreed to",4
167,"before farm to table before field to fork there was just good wholesome food grown by america's farm families prepared fresh at culver's and always served with a smile we still cook every butterburger to order using the finest cuts of fresh 100 midwest beef and craft our frozen custard right in the restaurant using family farm fresh dairy so thank you farmers and to all the welcome to delicious live from colorado's news channel this is cbs4 news at 30 the senate is moving ahead with debate on repealing obamacare john mccain returns to the capital for the first time since being traded -- treated for brain cancer to cast his critical vote mccain",4
336,"korea russia and iran and limit president trump's ability to undo them it's unclear whether the president will veto it these sanctions are a clear signal that the united states will hold president putin and his close associates accountable they're also a declaration that congress can and will act even when president trump refuses to do so president trump today intensified his criticism of attorney general jeff sessions saying he should not have recused himself from the russian investigation and the president's son-in-law jared kushner",4
338,"worried about his family and what could happen next a setback for republicans the senate voting 57-43 rejecting a comprehensive proposal to replace the affordable care act it came hours after the senate voted to start the debate vice president mike pence breaking the tie on capitol hill also lending hills support senator john mccain a scar visible bof his left eye after brain surgery but after casting his vote to move forward to debate -- mr mccain aye he spoke his mind expressing reservations on what comes next it is a shell of a bill right now we all know that i have changes urged by my state's governor that have to be included to earn my support for final passage any bill protesters against the repeal making their voices heard around the capitol and",4
339,"to lame i thinked amount of medical liability and we might go bankrupt caring for my sister despite the setback president trump at a make america great rally in ohio was feeling renewed momentum on repealing obamacare we're now one step closer to lit rating our citizens from this obamacare nightmare republicans now trying to hash out a bill they can pass without any democratic support",4
340,"its kind in the country and is serving a model china is copying this cap in trade plan quebec has joined ontario is coming in washington and oregon and i believe other states on the east coast will follow",4
379,"lauren also today the house approved legislation that hits russia iran and north korea with additional financial sanctions the bill prevents president donald trump from waiving the sanctions against russia without first securing permission from congress the measure now heads to the senate for action",4
429,"us rain chances sunday monday and tuesday closed captioning will resume closed closed captioning will resume closed captioning will resume senate republicans are moving forward with their attempt to repeal and replace obamacare the senate is passing a motion to begin debate on the house-passed health care bill the high-stakes vote had been in peril for days with democrats united in their opposition and at least two republicans holding out the vote comes during the return of republican senator john mccain-- who traveled back to washington tuesday after being diagnosed with a rare brain cancer pres donald the motion to proceed on health care has passed and now we move towards truly great health care the plan now gets complicated senators will vote on several amendments that would strip the house health care bill language - including the 2015 repeal bill but the final version is still very much up in the air",4
597,"close to average for a couple days jumping back up close to 100 for valleys by the weekend -jeff isolated showers and thunderstorms partly cloudy with a low around 64 northwest wind around 5 mph becoming northeast in the evening chance of precipitation is 20 mostly sunny with a high near 92 calm wind becoming southwest around 5 mph in the afternoon wednesday mostly clear with a low around 61 west wind 5 to 10 mph with gusts as high as 20 mph sunny with a high near 95 calm wind becoming north around 5 mph in the afternoon thursday mostly clear with a low around 62 sunny with a high near 96 friday a slight chance of showers and thunderstorms after 11 pm partly cloudy with a low around 64 a slight chance of showers and thunderstorms before 11 am mostly sunny with a high near 98 saturday mostly clear with a low around",4
629,"livestock loss pasture loss hay loss andfence loss there are 656 perosnnel working the fire which has destroyed 16 homes a fire threatening 50 structures near tarkio tar-key- oh grows more than 1-thousand acres in the last 24 hours keeping it a top 3 priority fire nationally take vo the sunrise fire burning 11 miles southeast of superior is threatening 50 structures and has now burned over 23-hundred and 50 acres with no containment the mineral county sheriff's office has issued a stage 2 evacuation for the residents of sunrise and quartz flats telling them to be ready to evacuate quickly if things get worse",4
649,"now on live at 4- thank you for joining us stick around fox 13's live at five starts after this when i say wisconsin what comes to mind oh immediately cheese it's our calling card to the rest of the world all of these wonderful cheeses go on our wisconsin big cheese pub burger we got american cheddar and havarti this is a show stopper cheese our sweet bun with a roasted garlic mayo mmm this eats so well all the way through you've got that great crisp and the sear of the beef the melt on these cheeses couldn't be better with that havarti coming through this is a really terrific burger welcome to delicious",4
806,"the homeowners on today's announcement as you can imagine they are relieved to be spared the huge expense of demolition people are being urged to keep themselves and their animals out of the long tom and mountain home reservoirs in elmore county after blue- green algae was found in the water state agencies have issued a health advisory for both reservoirs blue algae can produce dangerous toxins and be harmful to people pets and livestock those with liver or kidney damage are at an increased risk of illness",4
1043,"can be heard referring to himself as jeff police say that -- and social media tips -- helped catch him the senate votes to move ahead on health care legislation aimed at dismantling the affordable care act the vote was 51-50 today a slim victory for majority leader mitch mcconnell and president donald trump vice president mike pence cast the tie- breaking vote in a dramatic turn sen john mccain returned from arizona -- where he's been battling brain cancer -- to cast a crucial vote let's see if we can pass will be imperfect fulsol meotfhin g compromise and not very pleasing to implacable partisans on either side but that might provide workable solutions to problems americans are struggling with today what have we to lose by trying to work together to find those solutions the vote sets up days of debate and votes on repealing and replacing barack obama's health care law whatever the senate approves will still require a vote in the house",4
8,"bay news 9 and the showdown healthcare takes a over america's crucial turn pres trump 27 - now we can move forward towards truly great healthcare - 30 with a tie-breaker-- the senate passes the motion to start the health care debate a vote followed by pointed words from senator john mccain 44 - we are getting nothing done my friends we're getting nothing done - 48 butted to 57 - our health care system is a mess we all know it - 00 butted to 44 - what do we have to lose trying to work together to find those",3
12,"the table from the web center i'm roy de jesus a big development late tonight- republicans rejected the first version of the bill to repeal and replace obamacare the vote fell short it was 43 to 57 it happened just hours after the senate voted to start debate on health care reform the next step is floor debate on legislation to overhaul the affordable care it is unclear what act the final bill will look like",3
60,"-- about governor brown signing this bill end sot jerry brown should be impeached on cam nazy today's cap-and- trade bill extends it for another 10 years and the governor's office says another bill focused on fighting air pollution at the local level will be signed later this week",3
71,"there's more opportunities that i couldn't go one way it's just that i can go another way the climbers found their confidence and each other through paradox a nonprofit that last year alone helped nearly 500 adaptive climbers reach new heights a community focused on getting the disabled outdoors learning what can be gained from a loss we see a transformation in everything whether it be physical their mental state it's incredible on the mountain this group showed us there is no summit too high to reach giving those with disabilities a new view on life miguel almaguer nbc news boulder colorado we appreciate you spending part of your evening with us that is nightly news for this tuesday night i'm lester holt for all of us at nbc news thank you for watching and good night",3
89,"clock now ticking as anxious americans await the outcome president trump takes to the his attorney podium to trash general a look at president's end what the game might be and why some police officers worry their patrol vehicles are making them sick on nbc nightly news recapping washington politicians wont stop trying to repeal our health care medicaid would be slashed hurting seniors and the disabled tens of thousands of alaskans would lose their insurance and premiums would skyrocket - while the wealthy drug and insurance companies get hundreds of billions in tax breaks senator murkowski promised to protect our health care now washington insiders are pressuring her to back down senator keep your promise vote no on health care repeal debating how to dismantle the affordable care act here's a live look at the debate now that's after vice president mike pence broke a tie in the senate to move forward with the",3
102,"u s cellular has unlimited data and got rid of hidden fees now's your turn move it go go go didn't we just get rid of that sure did but activation fees pop up all the time again yup every time you upgrade hone why does this keep happening because you added a new line and it looks like someone just got a new phone that was me sorry guys get iphone 7 on us with no activation fees only from u s cellular senate republicans will move forward with their efforts to repeal a replace obamacare wit mounting pressure from t white house the senate voted on a procedural motion to begin debate",3
195,"just before she died monday officials have not confirmed the cause of death but believe she likely had pneumonia kyara was the last killer whale born after sea world announced the end of its orca breeding program in march 20-16 the only thing harder than winning the state championship is being prepared to win it again get everything they need to make it count for less this week at staples shop our fifty cent deals staples it's pro time before they can stand tall they must first learn to stand out get everything they need to shine for less this week at staples shop our fifty cent deals staples it's pro time",3
197,"cooperation and trust among the members of the armed services committee after that i am going home for a wild to treat my illness i have every intention of returning here and giving many of you cause to regret all the nice things you said about me sen and i hope to impress on you again that it is an honor to serve the american people in your company thank you fellow senators he did talk specifically about health care senator mccain said he will not vote for the current gop version of the",3
202,"next congressional recess in san francisco former governor arnold schwarzenegger joining california's fight against climate change and white house policies we do not have to wait for washington to create action we can do it our own it shows great leadership this as governor jerry brown signed legislation today to expand the cap and trade",3
221,"and well being of those who live in california under some of the worst air quality conditions in the counrty garcia says the bill was able to lower taxes - and at the same time expand a manufacturing tax credit to bring",3
223,"want to thank all of my guests today a special thanks to miles adcox and onsite for their work with jennifer she needs it and this family needs it they're all -- she's all that this family has long-term going forward i want to say again marty we've only heard from you on tape and a few comments you have stepped up when otherwise these children would have been spun off into a broken foster system your brother a tributes to you a bunch of larsonist motives and images everybody here knows better i know better thank you for caring enough to make the sacrifices for these children as i said god bless you we'll see you next time",3
248,"conditions across the region this will be an interesting pattern to keep an eye on for socal indirect impacts tonightpartly cloudy with a low around 82 northwest wind around 5 mph becoming calm in the evening wednesdaysunny with a high near 106 calm wind becoming southeast around 5 mph wednesday nightmostly clear with a low around 83 calm wind becoming west around 5 mph thursdaysunny with a high near 108 southeast wind around 5 mph becoming calm in the afternoon thursday nightmostly clear with a low around 84 fridaymostly sunny with a high near 109 friday nightpartly cloudy with a low around 84 saturdaymostly sunny with a high near 106 saturday nightpartly cloudy with a low around 84 sundaya slight chance of showers and thunderstorms mostly sunny with a high near 105 sunday nighta slight chance of showers and thunderstorms partly cloudy with a low around 84 mondaymostly sunny with a high near 106 monday nightpartly cloudy with a low around 85 tuesdaymostly sunny with a high near 108",3
255,"are united in their opposition sen chuck schumer leader mcconnell has a long way to go before he can get this done there are many many republicans who don't like this bill mola lenghi susan collins of maine and lisa murkowski of alaska were the only two republican senators to join democrats in voting no president trump congratulated the gop leadership on this win president trump now we move forward towards truly great health care for the american people this was a big step mola lenghi protesters in the senate gallery chanted as voting began and made their presence known around the capitol today mola lenghi for cbs news washington the yes vote today kicks off 20 hours of debate on health care amendments in a back and forth expected to last all week with moderate and conservative republicans at odds over an obamacare replacement plan",3
296,"could soon make way for many others we show you what the macy's at san francisco's stone's town galleria loo at at t we believe in access the opportunity for everyone to explore a digital world connecting with the things that matter most and because nothing keeps us more connected than the internet we've created access from at t california households with at least one resident who receivessnap or ssi benefits may qualify for home internet at a discounted rate of 10 amonth no commitment deposlati fee visit att com accessnow to learn more one laugh and hello sensitive bladder ring a bell then you have to try always discreet i didn't think protection this thin could work but the super absorbent core turns liquid to gel for incredible protection snap so it's out of sight and out of mind always discreet for bladder leaks i've discovered incredible bladder leak underwear that hugs every curve can't tell i'm wearing it can you always discreet underwear for bladder leaks",3
299,"death also john mccain puts his own health issues on hold for a make-or-break vote on healthcare the latest on efforts to repeal and replace the affordable care act that's tonight on action news at six-30 how are your teeth whiter than mine your strips are slippy mine are grippy crest whitestrips stay in place crest whitestrips professional effects lock in the whitening for a whiter smile these aren't going anywhere these are crest healthy beautiful smiles for life when you've got nausea heartburn indigestion upset stomach diarrhea nausea heartburn indigestion upset stomach diarrhea here's pepto bismol ah nausea heartburn indigestion upset stomach diarrhea",3
370,"vote from vice president pence today and a stirring speech from ailing senator john mccain the yes vote will kick off 20 hours of debate on health kara mendments in a back and forth that is expected to last all week mccain returned from arizona where he is being treated for brain cancer he",3
371,"treated for brain cancer he voted yet the critical vote and blasted both parties for not being willing to compromise we've been spinning our wheels on too many important issues because we keep trying to find a way to win without help from across the aisle that's an approach that has been employed by both sides mandating legislation from the top down without any support from the other side with all parliamentary maneuvers it requires we are getting nothing done my friends we are getting nothing done",3
372,"are rejecting talk of a replacement saying they support sessions president trump once again targeting his attorney general tweeting this quote attorney general jeff sessions has taken a very weak position on hillary clinton crimes we are -- where are the e-mails and dnc server and intel leakers the white house is also casting sessions' future in doubt it is clear that the president wants him gone i have an enormous amount of respect for the attorney general but i do know the president pretty well and if there's this level of tension in the relationship that's public",3
407,"investing member s i p c break edward jones making sense of investing member s i p c now the allergy report brought to you by the boise valley asthma allergy clinic time now for a look at the number of pollen grains measured in boise by the boise valley asthma and allergy clinic we are in the late stages of the pollen season and will be dealing with sage through the first part of october the pollen count is measured every tuesday through friday during the allergy season",3
411,"senate will continue its debate on healthcare çááástingeráááñ çááávoáááñwith vice president pence breaking a 50- 50 tie senate republicans moved forward with their efforts to repeal and replace obamacare after a failed attempt earlier this summer with mounting pressure from the white house the senate voted on a procedural motion to begin debate on new health care legislation",3
451,"waiting after seven years of promises months of planning it was down to the wire with mccain's help republicans narrowly voted to begin debate on health reform nat john ay mccain cast his vote and then he spoke his mind for 15 minutes he railed against the dysfunction in washington sot let's trust each other let's return to regular order we're getting nothing done my friends we're getting nothing done it classic john mccain holding nothing back -- sot stop listening to the bombastic loudmouths on the radio and television and the internet to hell with them today's vote to begin debate is",3
452,"debate is an important step nats but there's still a very long way to go before republicans agree on a plan to repeal and replace obamacare mccain made it clear that what's on the table isn't good enough sot i will not vote for the bill as it is today it's a shell of a bill right now we all know that",3
536,"believe that also they need to work across the aisle to solve it here's what chuck schumer had to say turn back we can go through regular order we want to work with you we know that aca is not per but we also know what you proposed is much worse",3
576,"over an obamacare replacement plan you heard what senator john mccain say this morning as the investigation on russian meddling picks up steam the president ratcheted up his attacks on his own attorney general president trump is frustrated by jeff sessions' decision to recuse himself from the investigation during this -- investigation trump chose to revive an old campaign issue tweeting that sessions has taken a very weak position on hillary clinton's crimes trump says only time will tell",3
577,"the very publuc attacks have both side of the asile coming to sessions's defense if they have issues i will work them out but i have a great deal of respect for jeff sessions he may be a of a different party but i do not like to see the attorney general of the united states treated this way meantime former trump campaign chairman paul manafort met this morning with the senate intelligence committee jared kushner was also on capitol hill for a second day addressing his meetings with russians during trump's campaign and transition into the white house",3
673,"us hairstyles provided by backwoods barbies welcome back if you're just now joining us here is what hour you missed at the top of the hour the senate can now move forward on healthcare reform after vice president mike pence gave the tie-breaking vote in favor of the legislation now-the motion to begin debate on the house- passed healthcare bill can begin 50 of the 52 senate republicans supported beginning debate including senator john mccain who retunred to washington today this is a key moment in the republicans' seven-year campaign to repeal and replace obamacare and",3
772,"conservatives and moderates from the senate floor senator mccain says it's time the body to get something done through bipartisanship all we've managed to do is make more popular a policy that wasn't very popular when we started trying to get rid of it president donald trump is praising the senate for moving forward on health care",3
863,"air for days senate democrats opposed it and some republicans also voiced their concerns but the vote happened today republican senator john mccain walked onto the senate floor for the first time since he was diagnosed with brain cancer last week his co greeted him with a standing ovation but the former presidential candidate quickly got down to business sen john stop listening to the bombastic loud mouths on the radio and television and the internet to hell with them they don't want anything done for the public good our incapacity is their livelihood let's trust each other let's return to regular order we've been spinning our wheels on too many important issues because we keep trying to find a way to win without help from across the aisle the maverick said he wouldn't vote for the bill as it stands but wants republicans and democrats to work together to come up with something two republican senators held out vice president mike pence cast the tiebreaking vote",3
865,"bennett channel 2 news democratic senator catherine cortez masto voted against the bill and afterwards issued a statement saying the vote today is a disaster for nevada it will hurt hundreds of thousands of nevadans - end quote and governor sandoval also reacted to the vote saying in part my healthcare conversations have been focused on policy not procedure my policy position has not changed i will continue to do all i can to protect the thousands of nevadans whose lives are healthier and happier as a result of the expansion of medicaid",3
992,"skyrocketing premiums and making sure that individuals have coverage through medicaid or the refundable tax this is about improving healthcare improving access making sure that people have healthcare coverage and access to healthcare we've got to take some of the fear out of the process and recognize it's a multi-step process and we're going to work hard to",3
1028,"paul manafort this comes after manafort began providing documents today to the committee and committed to negotiating in good faith a date for a future interview before the committee the committee wanted manafort to testify about the enforcement of the foreign agents registration act and russia's meddling into last year's presidential elections",3
1045,"emergency calls about a supplement that could be in your medicine cabinet good evening i'm tara herrschaft right now chief senate republicans continue their efforts to repeal and replace the affordable care act after a failed attempt earlier this summer and with mounting pressure from the pressure from the white house the senate voted on a procedural motion to begin debate on new health care legislation",3
7,"death on baynews9-dot-com you can also share your snooty memories on our facebook page in texas - a killer whare born in captivity at seaworld has died kyara a 3-month- old calf was diagnosed with an infection and her health never improved the park says it will take a month or so to complete",2
26,"senate deadlocked with two republicans voting against vice president mike pence presiding over the proceedings breaking the tie to open the debate on repeal and replace democratic leader chuck schumer calling the vote a ruse the ruse is send it back to the house and we'll see what they send us we know what they'll send us",2
28,"a south wind at 5- 10 mph wednesday sunny start then an increase in cloud cover but temperatures will climb into the mid to upper 80s with a warm south southwes t wind senate healthcare debate the vote was 50-50 with vice president mike pence casting the tie- breaking vote senator john mccain who is battling brain cancer returned to vote in favor of the decision to debate and vote on repealing and replacing the affordable care act he received a standing ovation and hugs from senators from both sides of the aisle then he addressed the senate mccain emphasized he won't vote for the bill as it stands",2
29,"threatened to fire one of his cabinet members boy scouts officials issued a statement saying - the organization is wholly non- partisan and does not promote any one position product service political candidate or philosophy the invitation for the sitting u-s president is a tradition and is in no way an endorsement of any political party",2
